0.74 0.01 -0.004038 -0.000351 0.004053
0.76 0.01 -0.003631 -0.000344 0.003647
0.77 0.01 -0.003233 -0.000335 0.003250
0.78 0.01 -0.002846 -0.000324 0.002864
0.79 0.01 -0.002473 -0.000311 0.002493
0.80 0.01 -0.002117 -0.000296 0.002137
0.81 0.01 -0.001779 -0.000278 0.001801
0.82 0.01 -0.001462 -0.000260 0.001485
0.83 0.01 -0.001168 -0.000239 0.001192
0.83 0.01 -0.000898 -0.000217 0.000924
0.84 0.01 -0.000655 -0.000194 0.000683
0.85 0.01 -0.000438 -0.000170 0.000470
0.86 0.01 -0.000250 -0.000145 0.000289
0.88 0.01 -0.000091 -0.000119 0.000150
0.89 0.01 0.000038 -0.000094 0.000101
0.90 0.01 0.000139 -0.000068 0.000154
0.91 0.01 0.000210 -0.000043 0.000214
0.92 0.01 0.000253 -0.000019 0.000254
0.93 0.01 0.000270 0.000003 0.000270
0.94 0.01 0.000263 0.000023 0.000264
0.95 0.01 0.000236 0.000039 0.000239
0.96 0.01 0.000193 0.000051 0.000199
0.96 0.01 0.000140 0.000056 0.000151
0.97 0.01 0.000085 0.000052 0.000100
0.98 0.01 0.000038 0.000038 0.000054
0.99 0.01 0.000009 0.000013 0.000016
0.01 0.03 0.000010 -0.000037 0.000038
0.01 0.03 0.000033 -0.000063 0.000071
0.03 0.03 0.000054 -0.000054 0.000077
0.04 0.03 0.000057 -0.000021 0.000061
0.04 0.03 0.000031 0.000028 0.000042
0.06 0.03 -0.000033 0.000086 0.000092
0.07 0.03 -0.000139 0.000148 0.000204
0.07 0.03 -0.000289 0.000212 0.000359
0.09 0.03 -0.000484 0.000275 0.000556
0.10 0.03 -0.000721 0.000335 0.000796
0.10 0.03 -0.001001 0.000392 0.001075
0.12 0.03 -0.001321 0.000446 0.001394
0.12 0.03 -0.001677 0.000495 0.001748
0.14 0.03 -0.002067 0.000540 0.002137
0.14 0.03 -0.002489 0.000580 0.002555
0.15 0.03 -0.002938 0.000616 0.003001
0.17 0.03 -0.003411 0.000647 0.003472
0.18 0.03 -0.003907 0.000675 0.003965
0.18 0.03 -0.004421 0.000698 0.004476
0.20 0.03 -0.004951 0.000717 0.005003
0.21 0.03 -0.005494 0.000733 0.005543
0.21 0.03 -0.006047 0.000745 0.006093
0.23 0.03 -0.006608 0.000754 0.006651
0.24 0.03 -0.007175 0.000760 0.007215
0.24 0.03 -0.007744 0.000763 0.007782
0.26 0.03 -0.008315 0.000762 0.008350
0.27 0.03 -0.008884 0.000759 0.008916
0.28 0.03 -0.009450 0.000753 0.009479
0.29 0.03 -0.010010 0.000745 0.010037
0.29 0.03 -0.010562 0.000734 0.010588
0.30 0.03 -0.011106 0.000721 0.011129
